"n","Variant-Linear-Search","Linear-Search"
10,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000
30,0.0000000000,0.0000000000
40,0.0000000000,0.0000000000
50,0.0000200000,0.0000000000
60,0.0000000000,0.0000000000
70,0.0000000000,0.0000000000
80,0.0000000000,0.0000000000
90,0.0000000000,0.0000000000
